id,nome
1685,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal – série encerrada em 2021"
1732,"Dados gerais das empresas por faixas de pessoal ocupado total, segundo seção, divisão e grupo da classificação de atividades, em nível Brasil, Grandes Regiões e Unidades da Federação da sede da empresa"
1733,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção, divisão e grupo da classificação de atividades, em nível Brasil, Grandes Regiões e Unidades da Federação"
1734,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção e divisão da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos das Capitais"
1735,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos"
2869,"Empresas e outras organizações e suas unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades, faixas de pessoal ocupado total e natureza jurídica, em nível Brasil, Grandes Regiões e Unidades da Federação da sede da empresa"
2933,"Empresas e outras organizações, por ano de fundação, seção da classificação de atividades e faixas de pessoal ocupado total"
2934,"Empresas, pessoal ocupado total e indicadores de concentração econômica em relação à variável pessoal ocupado total das maiores empresas, por seção, divisão e grupo da classificação de atividades"
2937,"Empresas, pessoal ocupado total e indicadores de diversificação espacial e de atividades no total de empresas e nas empresas com mais de uma unidade local, por seção, divisão e grupo da classificação de atividades e tipo de empresa"
3421,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção e divisão da classificação de atividades (CNAE 2.0), para os municípios com 50.000 habitantes ou mais – série encerrada em 2021"
6449,"Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0) – série encerrada em 2021"
6450,"Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0) – série encerrada em 2021"
6703,"Unidades locais, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e natureza jurídica – série encerrada em 2021"
7528,"Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por sexo e nível de escolaridade, segundo as seções, divisões e grupos da classificação de atividades (CNAE 2.0), as faixas de pessoal ocupado total e a natureza jurídica"
9411,"Empresas, pessoal ocupado total e indicadores de concentração econômica em relação à variável pessoal ocupado total das maiores empresas, por seção, divisão e grupo da classificação de atividades (CNAE 2.0)"
9412,"Empresas, pessoal ocupado total e indicadores de diversificação espacial e de atividades no total de empresas e nas empresas com mais de uma unidade local, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e tipo de empresa"
9418,"Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
9509,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
9510,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção e divisão da classificação de atividades (CNAE 2.0), para os municípios com 50.000 habitantes ou mais"
9528,"Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
9529,"Unidades locais, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e natureza jurídica"
9582,"Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e ano de fundação"
988,"Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, salário médio mensal e pessoal assalariado médio, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e faixas de pessoal ocupado total (série encerrada)"
992,"Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por sexo e nível de escolaridade, segundo as seções, divisões e grupos da classificação de atividades (CNAE 2.0), as faixas de pessoal ocupado total e a natureza jurídica – série encerrada em 2021"
993,"Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e ano de fundação – série encerrada em 2021"
994,"Empresas, pessoal ocupado total e indicadores de concentração econômica em relação à variável pessoal ocupado total das maiores empresas, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) – série encerrada em 2021"
995,"Empresas, pessoal ocupado total e indicadores de diversificação espacial e de atividades no total de empresas e nas empresas com mais de uma unidade local, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e tipo de empresa – série encerrada em 2021"
