id,nome
1221,"População residente, por sexo e grupos quinquenais de idade"
2059,Domicílios e População residente por espécie do domicílio
2060,"Domicílios particulares permanentes ocupados somente por uma família por indicador de situação habitacional (CALSAV-M), segundo o sexo da pessoa responsável pela família"
2061,"Domicílios particulares permanentes ocupados somente por uma família por indicador de situação habitacional (CALCOV-M), segundo o sexo da pessoa responsável pela família"
2074,"Domicílios particulares permanentes ocupados somente por uma família por existência de banheiro ou sanitário e tipo de esgotamento sanitário, segundo a forma de abastecimento de água e tipo de canalização"
2075,"Pessoas responsáveis pelos domicílios particulares permanentes por indicador de situação habitacional (CALSAV-M), segundo o sexo e grupos de anos de estudo"
2076,"Pessoas responsáveis pelos domicílios particulares permanentes por indicador de situação habitacional (CALCOV-M), segundo o sexo e grupos de anos de estudo"
2077,"Pessoas responsáveis pelos domicílios particulares permanentes por indicador de situação habitacional (CALSAV-M), segundo o sexo e anos de estudo"
2078,"Pessoas responsáveis pelos domicílios particulares por indicador de situação habitacional (CALCOV-M), segundo o sexo e anos de estudo"
2079,População residente por sexo segundo os grupos de idade
2080,"População residente por lugar de nascimento, segundo o sexo e grupos de idade"
2081,"Pessoas de 5 anos ou mais de idade por lugar de residência em 31 de julho de 1995, segundo o lugar de nascimento"
2082,"População de 5 anos ou mais de idade por grupos de anos de estudo, segundo o sexo e grupos de idade"
2083,"Pessoas de 5 anos ou mais de idade, que frequentavam escola por grupos de anos de estudo, segundo o sexo e grupos de idade"
2084,"Pessoas de 19 anos ou mais de idade por anos de estudo, segundo o sexo e idade"
2085,"Pessoas de 19 anos ou mais de idade por anos de estudo, segundo o sexo e grupos de idade"
2086,"Pessoas de 15 anos ou mais de idade por condição de atividade na semana de referência, segundo o sexo e grupos de idade"
2087,"Pessoas de 15 anos ou mais de idade, ocupadas na semana de referência por posição na ocupação, segundo o sexo e grupos de idade"
2088,"Pessoas de 15 anos ou mais de idade, ocupadas na semana de referência por seção de atividade do trabalho principal, segundo o sexo e grupos de idade"
2089,"Pessoas de 15 anos ou mais de idade, ocupadas na semana de referência por grandes grupos de ocupação no trabalho principal, segundo o sexo e grupos de idade"
2090,"Pessoas de 15 anos ou mais de idade, ocupadas na semana de referência por posição na ocupação segundo a seção de atividade do trabalho principal"
2091,"Pessoas de 15 anos ou mais de idade, ocupadas na semana de referência por posição na ocupação, segundo o sexo e grupos de anos de estudo"
2092,"Pessoas de 15 anos ou mais de idade, ocupadas na semana de referência por posição na ocupação, segundo o sexo e anos de estudo"
2391,"Domicílios particulares permanentes ocupados somente por uma família por indicador de situação habitacional (CALVIV-M), segundo o sexo da pessoa responsável pela família"
2733,"Pessoas responsáveis pelos domicílios particulares permanentes por indicador de situação habitacional (CALVIV-M), segundo o sexo e grupos de anos de estudo"
2734,"Pessoas responsáveis pelos domicílios particulares permanentes por indicador de situação habitacional (CALVIV-M), segundo os anos de estudo"
