id,nome
305,População residente em domicílios particulares permanentes por sexo do chefe do domicílio e situação
319,Média de moradores por domicílio particular permanente
472,"População residente por idade, forma de declaração da idade, sexo e situação"
473,"Pessoas de 4 anos ou mais de idade por grupos de idade, anos de estudo, sexo e situação"
475,"População residente por grupos de idade, sexo e situação"
476,"Pessoas de 4 anos ou mais de idade por frequência à escola, grau e série, grupos de idade e sexo"
477,Pessoas de 4 anos ou mais que frequentam escola por grau e grupos de idade
478,"Pessoas não residentes no município de residência atual em 01/09/91 por unidade da federação de residência anterior, grupos de idade e sexo"
479,"Chefes de domicílios particulares permanentes por grupos de idade, anos de estudo, sexo e situação"
480,"População residente por relação com o chefe do domicílio, grupos de idade, sexo e situação"
481,Média de moradores por domicílio particular permanente por sexo do chefe do domicílio e situação
482,Domicílios particulares permanentes por sexo do chefe do domicílio e situação
484,Pessoas não residentes no município de residência atual em 01/09/91 por origem do movimento migratório e sexo
552,Média de moradores por domicílio particular permanente por situação
553,Média de moradores por domicílio particular permanente por sexo do chefe do domicílio
579,"Domicílios particulares permanentes, População recenseada em domicílios particulares permanentes e Média de moradores em domicílios particulares permanentes por situação do domicílio"
580,"Domicílios particulares permanentes, População recenseada em domicílios particulares permanentes e Média de moradores em domicílios particulares permanentes por sexo da pessoa responsável pelo domicílio"
793,População residente
794,"População recenseada por situação do domicílio, sexo, forma de declaração da idade, idade e relação com a pessoa responsável pelo domicílio"
797,Domicílios recenseados por espécie de domicílio
798,Domicílios particulares ocupados por sexo da pessoa responsável pelo domicílio e situação do domicílio
