id,nome
8419,Valor bruto da produção dos produtos energéticos da biomassa
8420,Produção dos produtos energéticos da biomassa
8421,Intensidade do uso dos produtos energéticos da biomassa das atividades econômicas
8422,Uso para transformação dos produtos energéticos da biomassa das atividades econômicas
8423,Uso terminativo dos produtos energéticos da biomassa das atividades econômicas e famílias
8424,Usos físicos para transformação e terminativo dos produtos energéticos da biomassa nas atividades econômicas e famílias
8425,Uso dos produtos energéticos da biomassa pelas famílias per capita
8426,Energia residual dos produtos energéticos da biomassa
8427,Consumo final pelas famílias e Consumo final per capita dos produtos energéticos da biomassa
8428,"Exportação física, Importação física, Participação da exportação física e Participação da importação física, por produtos energéticos da biomassa"
8429,"Exportação monetária, Importação monetária, Participação da exportação monetária e Participação da importação monetária, por produtos energéticos da biomassa"
8430,Consumo intermediário dos produtos energéticos da biomassa das atividades econômicas
