id,nome
1839,"Dados gerais das empresas industriais com 1 ou mais pessoas ocupadas, segundo as indústrias extrativas e de transformação e as faixas de pessoal ocupado (CNAE 2.0)"
1841,"Emprego e salário das empresas industriais com 5 ou mais pessoas ocupadas, segundo as diivisões e os grupos de atividades (CNAE 2.0)"
1842,"Estrutura do valor da transformação industrial das empresas industriais com 5 ou mais pessoas ocupadas, segundo as diivisões e os grupos de atividades (CNAE 2.0)"
1843,"Aquisições, melhorias e baixas do ativo imobilizado das empresas industriais com 5 ou mais pessoas ocupadas, segundo as diivisões e os grupos de atividades (CNAE 2.0)"
1844,"Gastos de pessoal das empresas industriais com 5 ou mais pessoas ocupadas, segundo as diivisões e os grupos de atividades (CNAE 2.0)"
1845,"Estrutura das receitas das empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões e os grupos de atividades (CNAE 2.0)"
1847,"Estrutura dos custos e despesas das empresa industriais com 5 ou mais pessoas ocupadas, segundo as diivisões e os grupos de atividades (CNAE 2.0)"
1848,"Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões e os grupos de atividades (CNAE 2.0) - Brasil, Sul e Sudeste (exceto Espírito Santo)"
1849,"Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
1851,"Dados gerais das unidades locais industriais de empresas industriais com 1 ou mais pessoas ocupadas, segundo as divisões de atividades (CNAE 2.0)"
1853,"Dados gerais das empresas industriais com 1 ou mais pessoas ocupadas, segundo as divisões de atividades (CNAE 2.0)"
1855,"Estrutura do valor adicionado das empresa industriais com 5 ou mais pessoas ocupadas, segundo as diivisões e os grupos de atividades (CNAE 2.0)"
1964,"Dados gerais das empresas industriais, segundo as indústrias extrativas e de transformação e as faixas de pessoal ocupado"
1965,"Emprego e salário das empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões e os grupos de atividades"
1986,"Estrutura do valor da transformação industrial das empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões e os grupos de atividades"
1987,"Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões e os grupos de atividades - Brasil, Sul e Sudeste (exceto Espírito Santo)"
1988,"Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades - Regiões Norte, Nordeste e Centro-Oeste e Unidade da Federação Espírito Santo"
1996,"Aquisições, melhorias e baixas do ativo imobilizado das empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões e os grupos de atividades"
1997,"Gastos de pessoal das empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões e os grupos de atividades"
1998,"Estrutura das receitas das empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões e os grupos de atividades"
1999,"Estrutura dos custos e despesas das empresa industriais com 5 ou mais pessoas ocupadas, segundo as divisões e os grupos de atividades"
5548,"Dados gerais das empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões de atividades (CNAE 2.0)"
5602,"Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, segundo as divisões de atividades (CNAE 2.0)"
5603,"Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, segundo as Grandes Regiões e as Unidades da Federação (CNAE 2.0)"
5604,"Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, segundo as Grandes Regiões e as faixas de pessoal ocupado (CNAE 2.0)"
7238,"Dados gerais das unidades locais das empresas industriais com 30 ou mais pessoas ocupadas, segundo as divisões, os grupos e as classes de atividades - Brasil"
7239,"Dados gerais das unidades locais das empresas industriais com 30 ou mais pessoas ocupadas, segundo as Grandes Regiões e Unidades da Federação"
7241,"Emprego, salário e encargos das empresas industriais com 30 ou mais pessoas ocupadas, segundo as divisões, os grupos e as classes de atividades - Brasil"
7242,"Estrutura da receita das empresas industriais com 30 ou mais pessoas ocupadas, segundo as divisões, os grupos e as classes de atividades - Brasil"
7243,"Estrutura do investimento das empresas industriais com 30 ou mais pessoas ocupadas, segundo as divisões, os grupos e as classes de atividades - Brasil"
7244,"Estrutura do valor da transformação e do valor adicionado das empresas industriais com 30 ou mais pessoas ocupadas, segundo as divisões, os grupos e as classes de atividades - Brasil"
7245,"Estrutura dos custos e despesas das empresas industriais com 30 ou mais pessoas ocupadas, segundo as divisões, os grupos e as classes de atividades - Brasil"
