id,nome
1840,"População residente, por situação, sexo e lugar de nascimento"
1850,"População residente, por naturalidade em relação ao municipio e à unidade da federação, sexo e grupos de idade"
1852,"População residente, por lugar de nascimento e unidade da federação de residência"
1854,"Pessoas de 10 anos ou mais de idade, por naturalidade em relação ao municipio e à unidade da federação, condição de atividade na semana de referência e grupos de idade"
1856,"Estudantes de 5 anos ou mais de idade, por situação, sexo e grau e série que frequentavam"
1858,"Estudantes de 5 anos ou mais de idade, por grau e série que frequentavam, sexo e grupos de idade"
1860,"Pessoas de 10 anos ou mais de idade e Valor do rendimento médio mensal, por sexo, situação e classes de rendimento mensal"
1862,"Pessoas de 10 anos ou mais de idade e Valor do rendimento médio mensal, por sexo e situação"
1864,"Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, sexo, situação e grupos de idade"
1866,"Pessoas de 10 anos ou mais de idade, aposentadas e/ou pensionistas na semana de referência, por sexo e condição de atividade na semana de referência"
1867,"Pessoas de 10 anos ou mais de idade, economicamente ativas na semana de referência, e Valor do rendimento médio mensal, por sexo, situação e classes de rendimento mensal"
1868,"Pessoas de 10 anos ou mais de idade que procuraram trabalho na semana de referência, por condição de ocupação, sexo e grupos de idade"
1869,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por anos de estudo, sexo e classes de rendimento mensal de todos os trabalhos"
1870,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grupos de horas habitualmente trabalhadas por semana em todos os trabalhos, sexo e classes de rendimento mensal de todos os trabalhos"
1871,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e Valor do rendimento médio mensal de todos os trabalhos, por sexo e classes de rendimento mensal de todos os trabalhos"
1872,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e que procuraram trabalho na semana de referência, por sexo e anos de estudo"
1873,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e que procuraram trabalho na semana de referência, por sexo e grupos de horas habitualmente trabalhadas por semana em todos os trabalhos"
1874,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e que procuraram trabalho na semana de referência, por sexo e classes de rendimento mensal de todos os trabalhos"
1875,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e que procuraram trabalho na semana de referência, por sexo e contribuição para instituto de previdência em qualquer trabalho"
1876,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e que procuraram trabalho na semana de referência, por sexo e atividade do trabalho principal"
1877,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e que procuraram trabalho na semana de referência, por sexo e posição na ocupação no trabalho principal"
1878,"Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, sexo, situação e anos de estudo"
1880,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por número de trabalhos, sexo e grupos de idade"
1881,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por número de trabalhos, sexo e anos de estudo"
1882,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por número de trabalhos, sexo e associação a sindicatos"
1883,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por número de trabalhos, sexo e contribuição para previdência privada"
1885,"Pessoas de 10 anos ou mais de idade, economicamente ativas e Valor do rendimento médio mensal, por sexo e situação"
1886,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por situação, sexo e grupos de idade"
1888,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por situação, sexo e cor ou raça"
1889,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por situação, sexo e naturalidade em relação ao município"
1890,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por situação, sexo e grupos de idade com que começaram a trabalhar"
1891,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por situação, sexo e associação a sindicato"
1892,"Pessoas de 10 anos ou mais de idade e Valor do rendimento médio mensal, por indicativo de rendimento, situação, sexo e condição de atividade na semana de referência"
1894,"Pessoas de 10 anos ou mais de idade e Valor do rendimento médio mensal, por indicativo de rendimento e sexo"
1895,"Pessoas de 10 anos ou mais de idade e Valor do rendimento médio mensal, por indicativo de rendimento e situação"
1896,"Pessoas de 10 anos ou mais de idade e Valor do rendimento médio mensal, por indicativo de rendimento, situação e sexo"
1899,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e Valor do rendimento médio mensal de trabalho, por indicativo de rendimento, sexo e número de trabalhos"
1900,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, com mais de um trabalho, por posição na ocupação nos trabalhos principal e secundário"
1901,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por contribuição para instituto de previdência, sexo e grupos de idade"
1902,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por contribuição para instituto de previdência em qualquer trabalho, sexo e classes de rendimento mensal em todos os trabalhos"
1903,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por contribuição para instituto de previdência no trabalho principal, sexo e ramos de atividade do trabalho principal"
1904,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (exclusive trabalhadores na produção para o próprio consumo e trabalhadores na construção para o próprio uso), por posição na ocupação, sexo e local do estabelecimento do trabalho principal"
1906,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por tempo de permanência no trabalho principal, sexo e posição na ocupação no trabalho principal"
1907,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e com rendimento no trabalho principal e Valor do rendimento médio mensal do trabalho principal, por sexo, posição na ocupação principal e classes de rendimento mensal do trabalho principal"
1908,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e com rendimento no trabalho principal e Valor do rendimento médio mensal do trabalho principal, por sexo e posição na ocupação principal"
1910,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por posição na ocupação no trabalho principal, sexo e ramos de atividade do trabalho principal"
1912,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grupos de horas habitualmente trabalhadas por semana no trabalho principal, sexo e ramos de atividade do trabalho principal"
1913,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grupos de horas habitualmente trabalhadas por semana no trabalho principal, atividade e posição na ocupação no trabalho principal"
1914,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grupos de horas habitualmente trabalhadas por semana no trabalho principal, sexo e classes de rendimento mensal do trabalho principal"
1915,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por classes de rendimento mensal do trabalho principal, sexo e ramos de atividade do trabalho principal"
1916,"Empregados de 10 anos ou mais de idade, no trabalho principal da semana de referência, por categoria do emprego, sexo e grupos de idade"
1917,"Empregados de 10 anos ou mais de idade no trabalho principal da semana de referência e Valor do rendimento médio mensal do trabalho principal, por sexo, categoria do emprego e classes de rendimento mensal do trabalho principal"
1918,"Empregados de 10 anos ou mais de idade no trabalho principal da semana de referência e Valor do rendimento médio mensal do trabalho principal, por sexo e categoria do emprego"
1920,"Empregados de 10 anos ou mais de idade no trabalho principal da semana de referência (exclusive militares e funcionários públicos estatutários), por categoria do emprego, sexo e ramos da atividade principal"
1922,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grupos de horas habitualmente trabalhadas por semana no trabalho principal, sexo e grupos de ocupação do trabalho principal"
